RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx
-0.024144234,-0.11351659,0.143741545,0.05124908,0.01969927,0.198832197,0.202203739,0.19439163,0.309212617,0.17407647,0.286774758,-0.000173417,0.161485519,0.09248246,0.237348952,0.176156149,0.153875945,0.126730259,0.166666656,-0.095039134,-0.147740949,-0.024949008,-0.172186323,0.235481038,0.068776842,0.030126042,0.103787157,0.313845218,0.197419847,0.245832764,-0.01375748,-0.222593018,-0.216843391,-0.283862672,-0.025409163,-0.233464829,-0.182386461,-0.291273611,-0.20112931,-0.247765489,-0.222843865,-0.114000017,0.103647408,0.118086688,-0.768177463,0.175920442,-0.793182153,0.615945141,1.920762931,1.373261005,-0.651636055,0.196585689,0.823748124,0.720388251,0.856897983,0.496579132,0.849062257,0.068008991,0.012114995,-0.068131547,-0.268994909,-0.425145499,-0.15356074,0.011920172,-0.03419304,0.273126742,0.106555608,0.160490312,0.140487899,0.110198129,0.165491818,0.06006458,0.08151068,-0.338112,-0.333422417,0.206320874,-0.066077995,-0.034602453,0.252762694,0.226749979,0.255985686,0.279715459,0.306733385,0.311837293,0.304151279,0.250280899,1.621423166,1.086004568,1.175622116,1.058482487,0.615372563,0.320884088,-0.205640015,-0.322401107,-0.007385485,0.00699186,-0.068635707,-0.037188991,0.174891285,-0.061703357,-0.066512853,-0.086197028,-0.059042914,-0.053953593,-0.030039148,-0.01475219,0.037696415,-0.028462268,-0.041084491,-0.0127346,0.03856043,-0.0071203,-0.037297902,0.005488337,-0.020488259,-0.021007603,-0.019917515,-0.015775506,-0.01427715,0.042695279,0.014952853,0.087404288,-0.028107462,0.030529173,0.034427568,0.048424785,0.24641469
0.2555447,0.202096248,1.294911835,0.4244082,0.194120567,1.953963098,1.363209629,0.707684255,0.574321132,0.101958054,1.081838685,0.733038569,2.492648415,2.564633767,1.329335353,1.614236341,-0.139833476,-0.700302721,1.627435267,0.265248825,0.52829931,-1.97651263,-1.233989707,-0.418344451,-1.090639563,-0.20111789,-0.052878508,-1.555762935,-0.966408782,-1.239976849,-0.43539378,1.011663838,0.95754313,-1.005137619,-0.62786121,1.655500114,1.807040035,0.971477511,0.755718338,0.985866169,0.574687216,1.316439694,-0.486718533,-0.0225325,-0.923572904,0.697552554,-0.656438747,0.635806279,1.89312083,1.462191296,-0.631867627,0.149546417,0.864986682,0.825514268,0.903435419,0.534127604,0.803033505,0.420043538,1.058149547,0.155208401,1.91457051,-0.156759838,-1.015554676,-0.03158726,0.129328349,0.349865551,0.348774501,0.331319218,0.250191428,0.231372442,0.304999241,0.051516005,0.657288753,-0.586372734,-0.62526081,0.53975188,-0.039562546,-0.151005236,-0.115057058,-0.375422725,0.096116072,0.460246386,-0.1612318,-0.222273515,0.08523488,0.085718979,1.644709241,0.985770751,1.294689484,1.361562624,0.615372563,0.314600013,-0.168699793,-0.287255807,-0.019580073,0.09322895,0.049018588,0.096102779,0.55966354,-0.242431299,-0.25101666,-0.231234674,-0.164707446,-0.300021151,-0.160985804,-0.145500703,0.048088126,-0.206471014,-0.001393005,-0.210446729,-0.021253329,-0.006998578,-0.159383804,-0.160304547,-0.113514684,-0.228654242,-0.092918348,-0.20562596,-0.118798505,0.150914042,-0.157291799,0.245734582,-0.535427755,-0.002457632,0.076005114,0.064481177,0.017055389
0.734960983,0.902870395,1.134264453,-0.474062688,0.269335483,1.378975357,0.481404429,0.303902971,-0.160416711,0.626927708,-0.787402127,0.544040639,2.015826939,2.176989298,1.124567528,1.343585713,0.129546999,1.1199444,1.350066596,0.459112513,0.951976541,1.801541992,2.262350795,-1.382692273,-0.289340234,-0.982320728,-1.013771135,-0.938219233,-0.307913256,-1.001929686,-1.385164209,1.914947882,1.867274749,0.007461563,1.040335714,2.01679411,2.274074441,0.968899514,1.211516952,1.521201515,0.934492489,2.401931415,1.244391796,0.187399762,-0.457386581,1.405365237,-0.51969534,0.541402021,1.77926116,1.155913763,-0.664880358,0.377007825,1.080133168,0.895127663,0.942287106,0.835112865,0.959046403,0.636064793,0.465941075,0.382223962,1.960417789,0.150447331,-0.497898156,-0.174727487,0.36571018,0.726659748,0.570491321,0.096138584,-0.123633045,-0.436893536,-1.082787996,-0.239275472,0.252887991,0.5423757,0.520339062,-0.562569513,0.671411935,1.029451399,0.239630128,0.279935914,-0.018516537,0.166362838,0.092961975,0.107980469,-0.052145723,-0.195805443,0.992699126,0.599154599,0.805190306,0.966240707,0.358512782,0.100941483,-0.369232426,-0.493106852,-0.252255517,0.172952732,0.049018588,0.106043935,-0.416560636,-0.416642156,-0.320255709,-0.416424188,0.223857885,-0.105948271,0.368946483,-0.255637526,0.393702439,0.293013985,-0.006746025,-0.554368347,1.639772211,-1.861394055,-0.001558483,-0.000718129,-0.001608771,-0.173787798,0.204447449,-0.187339947,0.18263183,-0.005559629,-0.960679763,1.015205411,0.246277547,0.256921413,0.383401177,-1.367958629,-1.015590201
0.744947434,0.846841352,-1.080443691,1.479730505,-0.303728032,2.144475608,1.474515551,1.348342305,1.412498572,0.144541002,1.999387326,1.664323129,2.153714515,1.632564907,2.428988362,1.904245014,0.052001566,-0.26705098,1.981428017,0.270219689,0.986936762,1.002519104,1.869660991,-1.864866184,-0.556440011,0.365739249,-2.55823147,-2.665528525,-2.952783732,-1.016763051,-0.896681106,1.751254543,2.072517588,0.147930061,2.408518771,1.751096539,1.993168117,0.767666328,0.608721922,0.612644379,1.478747897,-2.520297606,1.020263955,-0.066118095,-0.146595699,0.697552554,-0.382951934,0.47970095,1.340807659,1.024061936,-0.452798485,0.476980181,0.907534086,0.773172933,0.815557115,0.691843588,0.770362767,0.821742049,0.181266594,0.300224945,1.142677313,1.636052791,0.019758263,-0.251689716,-0.571362368,0.057627006,0.477480453,0.545760326,0.583478441,2.224538642,1.017363315,-0.152824454,-0.012648778,0.306295434,0.353597416,-0.326649814,0.305299302,0.439223082,0.185062869,0.42888106,0.382697594,0.273229583,0.410704193,0.47492934,0.451583154,0.038798242,0.783124445,0.584835482,0.778730891,0.900353721,0.335848684,0.08208926,-0.400895473,-0.56841821,-0.078737955,0.080877976,0.049018588,0.112624749,-0.511483476,-0.000862101,0.636391527,5.35E-05,0.066988442,0.132132084,-0.55493495,0.505651882,0.393702439,-0.295345522,-1.700982684,0.554456816,-1.636925406,1.825206054,1.153300482,-0.000718129,-0.001608771,0.685048655,-0.075408499,0.213529844,1.110458928,-0.00550836,1.413946011,-1.030141851,-0.289888318,0.633374751,0.625010304,2.304605613,-0.695109001
0.612264441,0.769090657,1.582813647,0.382700359,0.230825945,1.452348832,0.748681223,0.811217133,0.319002003,0.654965078,-0.165310385,2.118467211,1.997463124,1.898721901,0.625530203,1.172749451,0.353942724,-0.965273597,1.205215597,0.275190552,0.669838097,-1.295967312,-0.703859906,-0.418344451,-0.289340234,-0.159225446,1.217711055,-1.288925837,-0.502703046,-1.261672249,0.090969425,1.132893941,1.091097192,0.578675349,-0.084926081,1.409974129,1.457891775,1.013890625,0.796032168,1.039199528,1.157082192,2.993061507,0.79858222,-0.024641102,0.008799742,-0.010260129,-0.109465121,0.28295631,1.205921673,0.791407021,-0.772770474,0.532499866,0.701374347,0.566808103,0.631026416,0.537151661,0.612178343,0.467633626,-1.194923275,0.196903669,-0.716100387,0.254816329,-0.497898206,0.759795625,1.106208822,0.527870032,-0.395551613,-0.455187503,-0.476625739,1.31823028,-0.155239236,0.341853861,0.444415805,0.260256731,0.361944876,-0.279423768,0.242231009,-0.179111346,0.376048277,-0.345633696,0.153432377,0.620546503,0.728446412,0.695098662,0.634757291,0.461084875,1.248845957,0.513239898,0.937487381,1.295675637,0.554934967,0.23919112,-0.295351982,-0.488086095,-0.026497595,0.084670871,0.049018588,0.016163434,-0.079057172,0.413667485,-0.639138121,0.828954434,-0.321724273,0.013091906,0.367815654,0.631768287,0.000236912,-0.292367243,1.695614692,0.554456816,0.817392333,-0.022031948,-0.005533909,-0.000718129,-0.001608771,-0.757353157,0.198974402,-0.276491777,-1.182734637,-0.0054578,-0.487281621,-1.015343491,-0.040968442,0.147152199,0.186264519,-1.418798434,-0.487883743
0.105232034,0.086889938,0.154539758,-0.199153839,0.324603564,-0.109573003,0.600905219,0.54561771,-0.639525584,0.184367333,-1.088423359,1.475481732,-0.760298524,-0.61142557,-0.374058296,-0.101254054,0.087450217,-0.055506963,-0.199996543,0.255307097,0.533333056,0.092236261,0.281586592,-0.418344451,0.244859318,0.442678249,-0.682057597,-0.029231198,0.711105056,-0.656566794,0.826344225,0.367677036,0.821748659,0.597979906,0.300943926,0.926218575,0.849243201,0.961674735,-0.287203838,0.140236608,0.667991176,0.186164773,0.57904972,-0.907018466,-0.146595699,-0.010260129,-0.246208527,0.29395569,1.149775084,0.708578537,-0.566805921,0.476980181,0.584259089,0.428394116,0.487594132,0.471394628,0.530853454,0.151143414,1.065208098,0.00738007,0.302628969,1.03122522,0.537414733,-0.408119808,-0.202876092,0.316504081,0.185115378,-0.011516608,-0.125687361,0.272234148,-0.455880282,0.47007094,0.747534998,-0.398458585,-0.319455564,0.344951083,-0.449642981,1.366724723,0.730735464,1.084239699,0.525988355,0.273229583,0.474252637,0.107980469,0.40578962,0.367243401,0.736552294,0.341410498,0.540596156,0.794934543,0.298075187,-0.049876302,-0.506438964,-0.69393714,0.133359049,-0.024512681,0.049018588,0.016139794,-0.343369626,-0.829921274,0.636391527,-0.828847446,-0.011448644,0.013091906,-0.093414001,0.122936315,0.000240807,0.292043649,-0.006596284,-0.554368347,-0.814545528,-1.845434548,-0.005506634,0.884626611,1.130939611,1.230912977,0.098983083,0.543086078,1.228154924,-1.168568951,0.455735146,1.010432146,-0.069860682,0.507569633,0.836513517,-1.133067194,-0.296051941
-0.572799076,-0.627124729,-1.040401778,0.82864859,-0.374074672,-2.979602774,-0.100849492,0.666980557,1.15152306,0.634820506,0.911136898,-0.093262165,-5.464941813,-6.561343264,0.27296289,-2.070059785,0.308828858,-1.148942236,-2.353736717,-0.023061275,-0.358383171,0.945134578,0.333822031,0.546003371,-0.823539787,0.686211169,1.387517099,-1.395409329,-0.57974206,-1.380176478,0.38374516,0.303446431,0.639759144,1.198862539,-0.611515412,0.949332759,0.984214664,0.663490426,-0.155434151,-0.217943559,-0.143599906,-0.259324142,0.361378702,0.772102427,-0.612782022,-0.718072812,-0.656438747,0.389201702,1.305571332,0.897592415,-0.47153133,0.362421355,0.925352237,0.5562575,0.688700509,0.811768724,0.899882499,-0.791067889,-2.12051395,-0.150007199,-1.189609418,0.616510988,1.572727623,-0.018801657,-0.748650628,-0.004600098,0.278172894,0.322126204,0.593453604,-1.34635622,-0.450056765,0.033230306,1.28914587,0.928755078,0.927675602,-0.903729026,0.497425581,0.214374199,0.403331907,-0.047743405,0.841228029,0.834279993,0.251833084,0.21806513,0.039441346,0.179560453,0.899554823,0.212538447,0.831649721,1.111192076,0.298075187,-0.062444451,-0.543379186,-0.714020169,-0.080865259,0.064707388,0.049018588,0.036100683,-0.165038148,-0.002112569,-0.639138121,-0.413724166,-0.090656286,0.013091906,-0.368640631,-0.38218711,0.000244675,-0.000647134,-1.685110502,4.42E-05,0.815270175,1.809384131,-1.148493873,-0.003587971,-0.005415664,-0.415063322,-0.452516986,-0.196481519,-0.010501352,-3.54E-05,-0.481497818,-1.010473819,0.527630684,-0.242576194,-0.094816658,2.712531905,-0.537991726
-1.515678282,-1.571712191,0.555035326,-4.59714614,0.123792281,-4.135810735,-1.080943988,-0.480024501,-0.041827692,-1.141795809,1.357586071,-0.910481002,-6.99861112,-7.958766613,-0.431626684,-4.27297463,0.121289725,0.712559703,-4.614934291,-0.47540988,-0.823869297,-1.006915753,-1.142778848,0.546003371,-0.823539787,0.152945132,1.018876209,0.007162502,0.37532565,-0.366691137,1.553750343,-4.276077235,-5.159867419,-6.892210576,-0.225645405,-5.753244804,-2.265686981,1.006636148,-0.804923754,0.423639723,5.798207056,0.526649121,-0.067763116,-0.151911455,-0.457386581,0.697552554,-0.51969534,0.129607726,0.911083157,0.757240617,-0.863074168,0.3915165,1.135345969,0.648457841,0.886937864,0.9384691,1.210209665,-1.729801501,-1.332113208,-0.578429404,-0.453540401,-0.48148124,1.572727673,-0.248923715,0.082649038,0.125023837,-0.581636044,-0.343370442,-0.365267699,-0.445069256,-0.371288808,-0.016045264,1.965804012,-0.31598403,-0.379692491,0.259873378,-0.413324224,0.073843647,-0.033206169,0.518248147,0.124774224,0.059496093,-0.034134913,0.107980469,-0.189526325,0.038798242,0.806410521,0.427325198,0.858109136,1.111192076,0.267856389,-0.062444451,-0.580319408,-0.724061684,-0.221521977,0.128402116,0.049018588,0.012774103,-0.243459753,-0.002120137,-0.323138634,0.413831153,-0.012760363,0.013091906,-0.003376681,-0.128513364,0.000248518,-0.290406118,1.679890162,4.42E-05,-1.626270142,-0.021896135,1.141455752,-0.883193028,-1.130350262,-0.344324462,-1.54837079,0.141528189,-0.438356456,-3.54E-05,0.450223494,-2.025796474,0.601761338,-0.025305543,-0.048519293,-2.357541088,0.062841582
-0.323118284,-0.48293206,1.235659545,1.038805258,-1.328015933,-0.375525513,-0.804098616,-0.60850726,-0.515991286,-1.220155982,0.589555833,-0.833371384,-0.302791956,-0.408317538,-0.01262466,-0.459936626,0.518268862,-0.383143092,-0.556088582,-0.216924963,-0.811919392,0.159112924,-0.725990514,1.510351194,-0.022240458,-0.050887927,2.243661441,0.125156829,1.119410586,-1.055063349,-0.759263533,0.068648491,-0.031726516,-1.793631637,-1.358429882,0.735739548,0.845359158,0.316998625,0.328319109,-1.002975626,-3.145431375,-0.719994747,0.356181224,1.931717965,-0.457386581,-0.718072812,-0.51969534,0.374231558,1.033389325,0.838440139,-0.30660461,0.3915165,0.756342565,0.573455669,0.761762263,0.48799453,0.781592739,0.354989035,0.586184681,-0.250481587,1.008326338,-1.554141842,-0.497898206,-0.864452498,-0.829047843,-0.715893253,0.087679415,0.099697663,0.235187062,-1.043004251,-0.160136037,-0.150347755,0.966408524,-1.282827046,-1.292612673,1.185592968,-1.250640869,0.720284185,1.794797024,1.948121542,2.360110095,1.528913833,1.046188631,0.915267985,0.40578962,0.414164138,1.737853544,1.000089867,1.612202464,1.532868787,0.320739285,-0.068728525,-0.670031376,-0.809414556,0.457028619,0.184303716,0.079743592,-0.047327972,-0.259748589,2.076810336,2.233715183,5.35E-05,0.388345316,0.013091906,0.740712877,0.500966233,0.000252336,0.290095642,-0.006450683,1.10389211,1.629116948,-0.021829531,-1.144572718,0.878905472,1.123351333,0.609614279,1.914732247,0.114180823,0.053349163,-3.54E-05,-0.475852524,3.041077455,-0.095109776,-0.684451975,-0.624006366,1.509808726,0.399404404
-0.228718538,-0.261623419,-1.625121907,-0.055153228,0.192496904,-1.062913708,-0.523304266,-0.737890584,-0.636994849,0.757105066,-1.831522696,-0.837876453,-1.07101863,-1.146480691,-1.698480709,-1.073828921,0.009040488,-0.330222112,-1.181283339,-0.311371375,-0.731326339,1.018874963,0.240446159,1.028177283,-1.090639563,1.370058789,0.234350855,-0.229625218,-0.32457073,0.022668097,2.317216198,-1.191796967,-1.433533267,0.410103022,-1.407903362,-1.318323878,-1.292295798,-1.208266295,-0.144527733,-0.432526225,0.145756382,0.093221163,0.565102898,0.591812629,-1.078968345,-0.010260129,-0.92992556,-0.048222228,1.149775084,0.425753237,-1.088818544,0.219803783,0.485315635,0.364246029,0.436124132,0.338231845,0.530924117,-0.879207481,0.378313421,-0.205201043,0.811453,-0.20257406,0.537414733,0.2887947,-0.461192921,-1.24099907,-0.007667089,-0.010920282,-0.124398028,-0.101540672,0.333156323,0.12229758,1.01231153,-0.181223572,-0.244134627,0.140723679,-0.393244748,0.607859744,0.266913758,0.011834653,-0.505705124,-0.554987689,-0.574296684,-0.552527499,0.222615483,0.461084875,1.458420637,0.699388416,1.096243871,0.979418104,0.018551308,-0.301239278,-0.759743343,-0.869663643,0.099900794,0.21240381,0.064390575,0.092813039,-0.339188739,-2.905092707,-2.86944847,5.35E-05,-0.329809185,0.013091906,-0.189371256,0.372101751,-0.387139916,-0.000634147,-1.669531572,-1.103803642,-0.81242337,-0.021763775,1.137561318,-0.88034173,-1.126568876,-0.106650106,-0.722950716,-0.036679963,0.235151515,-3.54E-05,0.444840745,-2.030666145,0.042156506,-0.084297112,-0.28164088,-0.314399079,0.227633432
